region,year,rate
Chernihiv,1992,-6.7
Kyiv city,1992,0.2
Sevastopol,1992,-0.7
Crimea,1993,-2.7
Vinnytsia,1993,-5.4
Volyn,1993,1.4
Dnipropetrovsk,1993,-4.4
Donetsk,1993,-6.2
Zhytomyr,1993,-2.8
Zakarpattia,1993,4.4
Zaporizhia,1993,-4.1
Ivano-Frankivsk,1993,2.4
Kyiv,1993,-5.1
Kirovohrad,1993,-5.6
Luhansk,1993,-5.9
Lviv,1993,1.1
Mykolaiv,1993,-2.4
Odesa,1993,-3.2
Poltava,1993,-6.7
Rivne,1993,3.1
Sumy,1993,-7.5
Ternopil,1993,-1.2
Kharkiv,1993,-6.2
Kherson,1993,-1.2
Khmelnytskyi,1993,-3.6
Cherkasy,1993,-6.2
Chernivtsi,1993,0.9
Chernihiv,1993,-8.5
Kyiv city,1993,-1.7
Sevastopol,1993,-2.7
Crimea,1994,-4.3
Vinnytsia,1994,-6.2
Volyn,1994,0.2
Dnipropetrovsk,1994,-5.8
Donetsk,1994,-7.5
Zhytomyr,1994,-4
Zakarpattia,1994,2.9
Zaporizhia,1994,-5.2
Ivano-Frankivsk,1994,1.5
Kyiv,1994,-5.9
Kirovohrad,1994,-6.4
Luhansk,1994,-7.5
Lviv,1994,0
Mykolaiv,1994,-3.7
Odesa,1994,-4.7
Poltava,1994,-7.6
Rivne,1994,2.1
Sumy,1994,-8.1
Ternopil,1994,-1.7
Kharkiv,1994,-7.6
Kherson,1994,-2.7
Khmelnytskyi,1994,-4.4
Cherkasy,1994,-6.7
Chernivtsi,1994,0.3
Chernihiv,1994,-9.9
Kyiv city,1994,-2.7
Sevastopol,1994,-4.4
Crimea,1995,-5.8
Vinnytsia,1995,-6.7
Volyn,1995,-1.1
Dnipropetrovsk,1995,-7.2
Donetsk,1995,-9.7
Zhytomyr,1995,-4.9
Zakarpattia,1995,1.8
Zaporizhia,1995,-6.9
Ivano-Frankivsk,1995,0.8
Kyiv,1995,-6.9
Kirovohrad,1995,-7.7
Luhansk,1995,-9
Lviv,1995,-0.8
Mykolaiv,1995,-4.9
Odesa,1995,-6.1
Poltava,1995,-8.1
Rivne,1995,1
Sumy,1995,-8.2
Ternopil,1995,-1.7
Kharkiv,1995,-8.5
Kherson,1995,-4.3
Khmelnytskyi,1995,-4.8
Cherkasy,1995,-7.5
Chernivtsi,1995,-0.3
Chernihiv,1995,-10.7
Kyiv city,1995,-3.5
Sevastopol,1995,-6.9
Crimea,1996,-5.8
Vinnytsia,1996,-7
Volyn,1996,-1
Dnipropetrovsk,1996,-7.8
Donetsk,1996,-9.8
Zhytomyr,1996,-5.4
Zakarpattia,1996,1.7
Zaporizhia,1996,-7
Ivano-Frankivsk,1996,0.3
Kyiv,1996,-6.9
Kirovohrad,1996,-8
Luhansk,1996,-10.1
Lviv,1996,-1.1
Mykolaiv,1996,-5.5
Odesa,1996,-6.1
Poltava,1996,-8.3
Rivne,1996,0.4
Sumy,1996,-9.1
Ternopil,1996,-2.4
Kharkiv,1996,-8.3
Kherson,1996,-5
Khmelnytskyi,1996,-5.3
Cherkasy,1996,-8
Chernivtsi,1996,-0.7
Chernihiv,1996,-10.6
Kyiv city,1996,-3.2
Sevastopol,1996,-5.6
Crimea,1997,-5.1
Vinnytsia,1997,-7
Volyn,1997,-1.5
Dnipropetrovsk,1997,-7.9
Donetsk,1997,-9.6
Zhytomyr,1997,-5.9
Zakarpattia,1997,1.4
Zaporizhia,1997,-6.9
Ivano-Frankivsk,1997,-0.3
Kyiv,1997,-7.2
Kirovohrad,1997,-8.5
Luhansk,1997,-10
Lviv,1997,-1.9
Mykolaiv,1997,-5.6
Odesa,1997,-5.8
Poltava,1997,-9.1
Rivne,1997,0.7
Sumy,1997,-9.4
Ternopil,1997,-3.3
Kharkiv,1997,-8.4
Kherson,1997,-4.6
Khmelnytskyi,1997,-6.2
Cherkasy,1997,-8.1
Chernivtsi,1997,-1.1
Chernihiv,1997,-10.7
Kyiv city,1997,-2.5
Sevastopol,1997,-4.8
Crimea,1998,-5.6
Vinnytsia,1998,-7.3
Volyn,1998,-1.3
Dnipropetrovsk,1998,-7.4
Donetsk,1998,-8.7
Zhytomyr,1998,-5.9
Zakarpattia,1998,1.2
Zaporizhia,1998,-7.2
Ivano-Frankivsk,1998,-0.5
Kyiv,1998,-7.6
Kirovohrad,1998,-8.3
Luhansk,1998,-9
Lviv,1998,-1.5
Mykolaiv,1998,-6.4
Odesa,1998,-5.8
Poltava,1998,-8.4
Rivne,1998,0.4
Sumy,1998,-9.2
Ternopil,1998,-3
Kharkiv,1998,-7.8
Kherson,1998,-5.3
Khmelnytskyi,1998,-6
Cherkasy,1998,-8.3
Chernivtsi,1998,-0.9
Chernihiv,1998,-10.8
Kyiv city,1998,-2.8
Sevastopol,1998,-5.5
Crimea,1999,-5.5
Vinnytsia,1999,-7.7
Volyn,1999,-2.7
Dnipropetrovsk,1999,-8.6
Donetsk,1999,-9.9
Zhytomyr,1999,-7.3
Zakarpattia,1999,-0.3
Zaporizhia,1999,-8.1
Ivano-Frankivsk,1999,-2
Kyiv,1999,-8.5
Kirovohrad,1999,-9.7
Luhansk,1999,-10.7
Lviv,1999,-3.3
Mykolaiv,1999,-7
Odesa,1999,-6.4
Poltava,1999,-9.9
Rivne,1999,-0.7
Sumy,1999,-10.3
Ternopil,1999,-4.7
Kharkiv,1999,-8.9
Kherson,1999,-6.3
Khmelnytskyi,1999,-6.5
Cherkasy,1999,-8.8
Chernivtsi,1999,-2.2
Chernihiv,1999,-12.2
Kyiv city,1999,-2.9
Sevastopol,1999,-5.6
Crimea,2000,-6.6
Vinnytsia,2000,-8.4
Volyn,2000,-2.8
Dnipropetrovsk,2000,-9.2
Donetsk,2000,-10.9
Zhytomyr,2000,-7.5
Zakarpattia,2000,0.4
Zaporizhia,2000,-8.7
Ivano-Frankivsk,2000,-1.8
Kyiv,2000,-8.9
Kirovohrad,2000,-10.1
Luhansk,2000,-11.4
Lviv,2000,-3.3
Mykolaiv,2000,-7.7
Odesa,2000,-7.2
Poltava,2000,-10.9
Rivne,2000,-1.3
Sumy,2000,-11.1
Ternopil,2000,-4.4
Kharkiv,2000,-9.6
Kherson,2000,-7
Khmelnytskyi,2000,-7.1
Cherkasy,2000,-9.9
Chernivtsi,2000,-2.4
Chernihiv,2000,-12.9
Kyiv city,2000,-2.9
Sevastopol,2000,-6.3
Crimea,2001,-6.7
Vinnytsia,2001,-8.3
Volyn,2001,-3.1
Dnipropetrovsk,2001,-8.8
Donetsk,2001,-10.3
Zhytomyr,2001,-8.5
Zakarpattia,2001,-0.4
Zaporizhia,2001,-8.6
Ivano-Frankivsk,2001,-2.7
Kyiv,2001,-9.4
Kirovohrad,2001,-9.8
Luhansk,2001,-10.9
Lviv,2001,-3.7
Mykolaiv,2001,-7.5
Odesa,2001,-7
Poltava,2001,-11.1
Rivne,2001,-1.6
Sumy,2001,-11.2
Ternopil,2001,-5.4
Kharkiv,2001,-9
Kherson,2001,-7.3
Khmelnytskyi,2001,-7.7
Cherkasy,2001,-10
Chernivtsi,2001,-2.9
Chernihiv,2001,-13.1
Kyiv city,2001,-3
Sevastopol,2001,-6.1
Crimea,2002,-6.7
Vinnytsia,2002,-8.1
Volyn,2002,-3
Dnipropetrovsk,2002,-8.6
Donetsk,2002,-10.6
Zhytomyr,2002,-8.2
Zakarpattia,2002,-0.6
Zaporizhia,2002,-8.4
Ivano-Frankivsk,2002,-2.8
Kyiv,2002,-9
Kirovohrad,2002,-10
Luhansk,2002,-10.6
Lviv,2002,-3.8
Mykolaiv,2002,-8.1
Odesa,2002,-7.2
Poltava,2002,-11
Rivne,2002,-1.8
Sumy,2002,-11.3
Ternopil,2002,-5.2
Kharkiv,2002,-8.9
Kherson,2002,-7.3
Khmelnytskyi,2002,-7.7
Cherkasy,2002,-10.2
Chernivtsi,2002,-3.3
Chernihiv,2002,-13
Kyiv city,2002,-2.5
Sevastopol,2002,-5.6
Crimea,2003,-6.5
Vinnytsia,2003,-8.5
Volyn,2003,-3.4
Dnipropetrovsk,2003,-8.4
Donetsk,2003,-10.3
Zhytomyr,2003,-8.5
Zakarpattia,2003,-0.1
Zaporizhia,2003,-8.4
Ivano-Frankivsk,2003,-3.2
Kyiv,2003,-8.9
Kirovohrad,2003,-9.9
Luhansk,2003,-10.7
Lviv,2003,-3.8
Mykolaiv,2003,-7.6
Odesa,2003,-7
Poltava,2003,-11.2
Rivne,2003,-1.7
Sumy,2003,-11.3
Ternopil,2003,-5.6
Kharkiv,2003,-8.8
Kherson,2003,-6.7
Khmelnytskyi,2003,-7.9
Cherkasy,2003,-9.9
Chernivtsi,2003,-3.7
Chernihiv,2003,-13.2
Kyiv city,2003,-1.9
Sevastopol,2003,-5.4
Crimea,2004,-6.1
Vinnytsia,2004,-7.9
Volyn,2004,-2.6
Dnipropetrovsk,2004,-8.1
Donetsk,2004,-9.9
Zhytomyr,2004,-8.5
Zakarpattia,2004,0
Zaporizhia,2004,-7.8
Ivano-Frankivsk,2004,-2.2
Kyiv,2004,-8.6
Kirovohrad,2004,-9.7
Luhansk,2004,-10.6
Lviv,2004,-3
Mykolaiv,2004,-7.3
Odesa,2004,-6.4
Poltava,2004,-10.9
Rivne,2004,-1.1
Sumy,2004,-11.5
Ternopil,2004,-4.5
Kharkiv,2004,-8.4
Kherson,2004,-6.4
Khmelnytskyi,2004,-7.4
Cherkasy,2004,-10.4
Chernivtsi,2004,-2.5
Chernihiv,2004,-13.2
Kyiv city,2004,-0.9
Sevastopol,2004,-4.8
Crimea,2005,-6.7
Vinnytsia,2005,-9.2
Volyn,2005,-3.2
Dnipropetrovsk,2005,-9
Donetsk,2005,-10.3
Zhytomyr,2005,-9
Zakarpattia,2005,-0.6
Zaporizhia,2005,-8
Ivano-Frankivsk,2005,-2.7
Kyiv,2005,-9
Kirovohrad,2005,-10.5
Luhansk,2005,-10.9
Lviv,2005,-3.6
Mykolaiv,2005,-7.7
Odesa,2005,-6.7
Poltava,2005,-11.2
Rivne,2005,-1.7
Sumy,2005,-12.1
Ternopil,2005,-5.2
Kharkiv,2005,-8.6
Kherson,2005,-7.2
Khmelnytskyi,2005,-8.4
Cherkasy,2005,-10.9
Chernivtsi,2005,-3.2
Chernihiv,2005,-14.1
Kyiv city,2005,-1.4
Sevastopol,2005,-5.8
Crimea,2006,-5.3
Vinnytsia,2006,-7.7
Volyn,2006,-1.8
Dnipropetrovsk,2006,-7.5
Donetsk,2006,-9.2
Zhytomyr,2006,-8
Zakarpattia,2006,0.5
Zaporizhia,2006,-7.2
Ivano-Frankivsk,2006,-1.9
Kyiv,2006,-8
Kirovohrad,2006,-8.8
Luhansk,2006,-9.5
Lviv,2006,-2.9
Mykolaiv,2006,-6.2
Odesa,2006,-5.8
Poltava,2006,-9.3
Rivne,2006,-0.3
Sumy,2006,-10.1
Ternopil,2006,-4.4
Kharkiv,2006,-7.6
Kherson,2006,-5.7
Khmelnytskyi,2006,-7.3
Cherkasy,2006,-9.4
Chernivtsi,2006,-2.3
Chernihiv,2006,-13
Kyiv city,2006,-0.7
Sevastopol,2006,-5
Crimea,2007,-4.8
Vinnytsia,2007,-7.5
Volyn,2007,-1.4
Dnipropetrovsk,2007,-7.4
Donetsk,2007,-9.1
Zhytomyr,2007,-7.6
Zakarpattia,2007,0.2
Zaporizhia,2007,-7.1
Ivano-Frankivsk,2007,-1.9
Kyiv,2007,-7.6
Kirovohrad,2007,-8.8
Luhansk,2007,-9.1
Lviv,2007,-2.9
Mykolaiv,2007,-6.4
Odesa,2007,-5
Poltava,2007,-9.8
Rivne,2007,-0.3
Sumy,2007,-10.2
Ternopil,2007,-4.5
Kharkiv,2007,-7.2
Kherson,2007,-5.9
Khmelnytskyi,2007,-6.9
Cherkasy,2007,-9.3
Chernivtsi,2007,-2.6
Chernihiv,2007,-13.1
Kyiv city,2007,-1
Sevastopol,2007,-5
Crimea,2008,-3.7
Vinnytsia,2008,-6.3
Volyn,2008,-0.2
Dnipropetrovsk,2008,-6.7
Donetsk,2008,-8.3
Zhytomyr,2008,-7
Zakarpattia,2008,1.7
Zaporizhia,2008,-6.2
Ivano-Frankivsk,2008,-1
Kyiv,2008,-6.2
Kirovohrad,2008,-8.4
Luhansk,2008,-8.5
Lviv,2008,-2.4
Mykolaiv,2008,-5.4
Odesa,2008,-3.9
Poltava,2008,-8.7
Rivne,2008,0.7
Sumy,2008,-9.6
Ternopil,2008,-3.5
Kharkiv,2008,-6.4
Kherson,2008,-5
Khmelnytskyi,2008,-6
Cherkasy,2008,-8.4
Chernivtsi,2008,-1.3
Chernihiv,2008,-12.2
Kyiv city,2008,0.7
Sevastopol,2008,-4.6
Crimea,2009,-2.5
Vinnytsia,2009,-5.3
Volyn,2009,0.7
Dnipropetrovsk,2009,-5.2
Donetsk,2009,-7.1
Zhytomyr,2009,-5.3
Zakarpattia,2009,2.1
Zaporizhia,2009,-5.4
Ivano-Frankivsk,2009,-0.1
Kyiv,2009,-4.7
Kirovohrad,2009,-6.7
Luhansk,2009,-7.6
Lviv,2009,-1.1
Mykolaiv,2009,-4.7
Odesa,2009,-2.9
Poltava,2009,-8
Rivne,2009,1.8
Sumy,2009,-8.9
Ternopil,2009,-2.9
Kharkiv,2009,-5.5
Kherson,2009,-4.2
Khmelnytskyi,2009,-5.3
Cherkasy,2009,-7.2
Chernivtsi,2009,-0.7
Chernihiv,2009,-10.5
Kyiv city,2009,1.5
Sevastopol,2009,-3.3
Crimea,2010,-2.7
Vinnytsia,2010,-5.5
Volyn,2010,0.4
Dnipropetrovsk,2010,-5.7
Donetsk,2010,-7.3
Zhytomyr,2010,-5.2
Zakarpattia,2010,2.7
Zaporizhia,2010,-5.8
Ivano-Frankivsk,2010,-0.9
Kyiv,2010,-5
Kirovohrad,2010,-7
Luhansk,2010,-7.8
Lviv,2010,-1.6
Mykolaiv,2010,-5
Odesa,2010,-3.1
Poltava,2010,-8
Rivne,2010,1.8
Sumy,2010,-8.4
Ternopil,2010,-3.5
Kharkiv,2010,-5.7
Kherson,2010,-3.7
Khmelnytskyi,2010,-4.9
Cherkasy,2010,-7.2
Chernivtsi,2010,-0.8
Chernihiv,2010,-10.5
Kyiv city,2010,1.2
Sevastopol,2010,-3.7
Crimea,2011,-2.1
Vinnytsia,2011,-4.6
Volyn,2011,0.8
Dnipropetrovsk,2011,-4.8
Donetsk,2011,-6.7
Zhytomyr,2011,-4.1
Zakarpattia,2011,3.1
Zaporizhia,2011,-4.9
Ivano-Frankivsk,2011,-0.1
Kyiv,2011,-3.9
Kirovohrad,2011,-6.1
Luhansk,2011,-7
Lviv,2011,-0.9
Mykolaiv,2011,-3.8
Odesa,2011,-1.9
Poltava,2011,-6.8
Rivne,2011,3
Sumy,2011,-7.2
Ternopil,2011,-2.6
Kharkiv,2011,-5
Kherson,2011,-3.5
Khmelnytskyi,2011,-4.3
Cherkasy,2011,-6.6
Chernivtsi,2011,0.1
Chernihiv,2011,-9.2
Kyiv city,2011,1.8
Sevastopol,2011,-2.9
Crimea,2012,-1.1
Vinnytsia,2012,-4.2
Volyn,2012,1.6
Dnipropetrovsk,2012,-4.3
Donetsk,2012,-6.3
Zhytomyr,2012,-4.1
Zakarpattia,2012,3.3
Zaporizhia,2012,-4.2
Ivano-Frankivsk,2012,0.2
Kyiv,2012,-3.6
Kirovohrad,2012,-5.5
Luhansk,2012,-6.4
Lviv,2012,-0.6
Mykolaiv,2012,-3.2
Odesa,2012,-1.4
Poltava,2012,-6.6
Rivne,2012,3.5
Sumy,2012,-6.9
Ternopil,2012,-2.5
Kharkiv,2012,-4.7
Kherson,2012,-3
Khmelnytskyi,2012,-4.2
Cherkasy,2012,-6.1
Chernivtsi,2012,0.3
Chernihiv,2012,-9.3
Kyiv city,2012,2.2
Sevastopol,2012,-1.7
Crimea,2013,-1.5
Vinnytsia,2013,-5
Volyn,2013,1
Dnipropetrovsk,2013,-4.6
Donetsk,2013,-6.5
Zhytomyr,2013,-4.6
Zakarpattia,2013,2.9
Zaporizhia,2013,-4.7
Ivano-Frankivsk,2013,-0.5
Kyiv,2013,-3.9
Kirovohrad,2013,-6
Luhansk,2013,-6.8
Lviv,2013,-0.9
Mykolaiv,2013,-3.7
Odesa,2013,-1.9
Poltava,2013,-6.8
Rivne,2013,2.5
Sumy,2013,-7.8
Ternopil,2013,-2.7
Kharkiv,2013,-4.7
Kherson,2013,-3.5
Khmelnytskyi,2013,-4.6
Cherkasy,2013,-6.6
Chernivtsi,2013,-0.1
Chernihiv,2013,-9.4
Kyiv city,2013,1.9
Sevastopol,2013,-2.2
Crimea,2014,NA
Vinnytsia,2014,-4.9
Volyn,2014,0.9
Dnipropetrovsk,2014,-5
Donetsk,2014,NA
Zhytomyr,2014,-4.8
Zakarpattia,2014,2.8
Zaporizhia,2014,-5.1
Ivano-Frankivsk,2014,-0.6
Kyiv,2014,-4.3
Kirovohrad,2014,-6.3
Luhansk,2014,NA
Lviv,2014,-0.9
Mykolaiv,2014,-4
Odesa,2014,-2
Poltava,2014,-7.1
Rivne,2014,2.1
Sumy,2014,-8
Ternopil,2014,-3.3
Kharkiv,2014,-5.2
Kherson,2014,-3.6
Khmelnytskyi,2014,-4.4
Cherkasy,2014,-6.8
Chernivtsi,2014,0
Chernihiv,2014,-10.2
Kyiv city,2014,1.7
Sevastopol,2014,NA
Crimea,2015,NA
Vinnytsia,2015,-5.7
Volyn,2015,-0.4
Dnipropetrovsk,2015,-6.3
Donetsk,2015,NA
Zhytomyr,2015,-5.7
Zakarpattia,2015,1
Zaporizhia,2015,-6.5
Ivano-Frankivsk,2015,-1.5
Kyiv,2015,-4.7
Kirovohrad,2015,-6.9
Luhansk,2015,NA
Lviv,2015,-2
Mykolaiv,2015,-5.5
Odesa,2015,-2.9
Poltava,2015,-7.7
Rivne,2015,1.2
Sumy,2015,-8.2
Ternopil,2015,-4.2
Kharkiv,2015,-6.4
Kherson,2015,-4.9
Khmelnytskyi,2015,-5.2
Cherkasy,2015,-7
Chernivtsi,2015,-1.2
Chernihiv,2015,-10.3
Kyiv city,2015,1.8
Sevastopol,2015,NA
Crimea,2016,NA
Vinnytsia,2016,-5.8
Volyn,2016,-0.5
Dnipropetrovsk,2016,-6.8
Donetsk,2016,NA
Zhytomyr,2016,-5.8
Zakarpattia,2016,0.5
Zaporizhia,2016,-7.1
Ivano-Frankivsk,2016,-1.9
Kyiv,2016,-5.3
Kirovohrad,2016,-7.7
Luhansk,2016,NA
Lviv,2016,-2
Mykolaiv,2016,-5.8
Odesa,2016,-3
Poltava,2016,-8.4
Rivne,2016,1
Sumy,2016,-8.9
Ternopil,2016,-4.7
Kharkiv,2016,-6.7
Kherson,2016,-5.3
Khmelnytskyi,2016,-5.6
Cherkasy,2016,-7.8
Chernivtsi,2016,-1.5
Chernihiv,2016,-10.3
Kyiv city,2016,2
Sevastopol,2016,NA
Crimea,2017,NA
Vinnytsia,2017,-6.3
Volyn,2017,-1.6
Dnipropetrovsk,2017,-7.3
Donetsk,2017,NA
Zhytomyr,2017,-6.8
Zakarpattia,2017,-0.4
Zaporizhia,2017,-7.8
Ivano-Frankivsk,2017,-2.9
Kyiv,2017,-6.3
Kirovohrad,2017,-8.1
Luhansk,2017,NA
Lviv,2017,-2.8
Mykolaiv,2017,-6
Odesa,2017,-3.4
Poltava,2017,-8.7
Rivne,2017,-0.2
Sumy,2017,-8.7
Ternopil,2017,-5.2
Kharkiv,2017,-7.2
Kherson,2017,-5.6
Khmelnytskyi,2017,-6.3
Cherkasy,2017,-8.4
Chernivtsi,2017,-2
Chernihiv,2017,-11
Kyiv city,2017,1.6
Sevastopol,2017,NA
Crimea,2018,NA
Vinnytsia,2018,-7.4
Volyn,2018,-2.3
Dnipropetrovsk,2018,-8.5
Donetsk,2018,NA
Zhytomyr,2018,-7.8
Zakarpattia,2018,-1.2
Zaporizhia,2018,-8.9
Ivano-Frankivsk,2018,-3.5
Kyiv,2018,-7.6
Kirovohrad,2018,-8.9
Luhansk,2018,NA
Lviv,2018,-3.8
Mykolaiv,2018,-7.1
Odesa,2018,-4.4
Poltava,2018,-9.6
Rivne,2018,-1
Sumy,2018,-9.9
Ternopil,2018,-6.2
Kharkiv,2018,-8.6
Kherson,2018,-6.8
Khmelnytskyi,2018,-7.1
Cherkasy,2018,-9.5
Chernivtsi,2018,-2.8
Chernihiv,2018,-12.3
Kyiv city,2018,0.8
Sevastopol,2018,NA
